Date,Open,High,Low,Close,Adj Close,Volume,ret1,ret2,ret4,ret8,ret16,vol2,vol4,vol8,vol16,weekday,sub,sub2,sub4,sub8,sub16,MACD,bbbb_day,cccc_day,K,D
2019-01-02,1016.570007,1052.319946,1015.7100220000001,1045.849976,1045.849976,1532600,-0.16499671248136372,-0.08722367430870098,-0.041898567199822906,-0.018637546055938023,-0.007423558115783546,1431350.0,1486400.0,1496875.0,2146781.25,0.0,0.0008222833290957,0.0025468435580600505,0.0027051387011654514,0.003021247533353915,0.004460153262445234,4.400994144436709,-23.66998399999966,0.017502473987722297,0.11761936068207175,0.38742049577947485
2019-01-03,1041.0,1056.97998,1014.070007,1016.0599980000001,1016.0599980000001,1841100,-0.028483987841101177,-0.09674035016123245,-0.05011245619822277,-0.023023275789575123,-0.00988834978420687,1686850.0,1517375.0,1510112.5,2057331.25,0.0,0.0019585369012825086,0.0013904101151891043,0.0022830416268926576,0.003221756132982984,0.004394183206058625,-11.76583293568956,38.9299910000002,0.02111586573847189,0.007716434739447167,0.197568465259461
2019-01-04,1032.589966,1070.839966,1027.4179689999999,1070.709961,1070.709961,2093900,0.0537861574194165,0.012651084789157663,-0.03728629475977166,-0.01600088646029499,-0.008960138975220841,1967500.0,1699425.0,1638950.0,1851950.0,1.0,0.004830436988901934,0.003394486945092221,0.0029706652515761357,0.002943204098328718,0.0040001227584190654,-19.93852567441286,-43.16198700000041,0.020277198579270593,0.2196283845938411,0.20859842492665104
2019-01-07,1071.5,1074.0,1054.76001,1068.390015,1068.390015,1981900,-0.0021667361699272414,0.02580971062474463,-0.03546531976824391,-0.016222260926197246,-0.009979293873923316,2037900.0,1862375.0,1748475.0,1816118.75,1.0,0.012757518142847847,0.00879397756587489,0.005092193840531997,0.003816779317661302,0.004622599203927347,-26.299479772564837,-8.020019999999931,0.009004197778842043,0.21980342454979843,0.21420092473822472
2019-01-08,1076.109985,1084.560059,1060.530029,1076.280029,1076.280029,1764900,0.007384956700480005,0.002609110265276382,0.007630097527217022,-0.017134234836302942,-0.009986019199450503,1873400.0,1920450.0,1703425.0,1755531.25,0.0,0.01447574569833446,0.013616631920591152,0.008505559432841687,0.005605349067003569,0.005324102368805265,-30.354021270859675,-7.469970000000103,0.011163465525940693,0.8825361910642382,0.5483685579012314
2019-01-09,1081.650024,1082.630005,1066.400024,1074.660034,1074.660034,1199300,-0.0015051798382853532,0.002939888431097326,0.014374799527920978,-0.017868828335150896,-0.008494621089868426,1482100.0,1760000.0,1638687.5,1679356.25,0.0,0.007686160961299846,0.011080953329817154,0.00993746544784602,0.0061102535373693395,0.0053854549869207236,-33.313971945924095,-0.29003899999997884,0.007551216424970333,0.8595542956898382,0.7039614267955348
2019-01-10,1067.660034,1071.150024,1057.709961,1070.329956,1070.329956,1456400,-0.004029253776082986,-0.0027672168071841696,-7.90532709538938e-05,-0.018682674015362777,-0.007606586028783849,1327850.0,1600625.0,1650025.0,1633206.25,0.0,0.009296266954150327,0.008491213957725088,0.01105392293915812,0.007012294095367128,0.005668209276943751,-35.598794543813256,-11.799927000000025,0.006278467179517121,0.7509698542702961,0.7274656405329154
2019-01-11,1063.180054,1063.775024,1048.47998,1057.189941,1057.189941,1520800,-0.012276602113526103,-0.008152927944804544,-0.002606519756853609,-0.01903591976254876,-0.00823058218709656,1488600.0,1485350.0,1673862.5,1605187.5,1.0,0.008238785351817891,0.00876752615298411,0.009924239741400631,0.007508216790966315,0.00562139472346166,-38.03141977527821,-2.1248780000000806,0.007233820246876507,0.2414063727521234,0.4844360066425194
2019-01-14,1046.920044,1051.530029,1041.255005,1044.689941,1044.689941,1144300,-0.01182379770675479,-0.012050199910140447,-0.007408708358662308,0.00011069458427735712,-0.009263425735830333,1332550.0,1330200.0,1625325.0,1561100.0,1.0,0.003287995667606516,0.005763390509712203,0.007127302233718646,0.007816430833280166,0.00541883918331704,-40.501067238388714,3.4051519999998163,0.004917738554161129,0.07931951776344888,0.28187776220298416
2019-01-15,1050.170044,1080.050049,1047.339966,1077.150024,1077.150024,1463600,0.031071499519683687,0.009623850906464448,0.000735461480829952,0.007555130504375465,-0.007734072642599829,1303950.0,1396275.0,1578137.5,1544125.0,0.0,0.0026273758872422007,0.0029576857774243582,0.005862605965204234,0.007900035706525126,0.005560895919754056,-39.38501726517461,-26.910033000000112,0.015183624505029924,0.8675533293051371,0.5747155457540606
2019-01-16,1080.0,1092.375,1079.339966,1080.969971,1080.969971,1331800,0.003546346297997216,0.01730892290884045,0.0026293614993500025,0.0012751541141980544,-0.007362866173048467,1397700.0,1365125.0,1482875.0,1560912.5,0.0,0.0006105942049337428,0.0016189850460879718,0.0036911877779000875,0.007372555358529103,0.005157879728428911,-37.75706191561744,9.77502400000003,0.006029322899664525,0.7768969069734845,0.6758062263637725
2019-01-17,1079.469971,1091.800049,1073.5,1089.900024,1089.900024,1242700,0.008261148079570457,0.005903747188783837,0.0077637990476241425,0.0025786396453852667,-0.00682181064040599,1287250.0,1295600.0,1390475.0,1569475.0,0.0,0.005477540020679903,0.0030440671128068226,0.0030008764451155906,0.006462558093258111,0.005139668705459706,-35.33894951450429,-14.499999000000116,0.00839528791495831,0.951584971790393,0.8136955990770828
2019-01-18,1100.0,1108.352051,1090.900024,1098.26001,1098.26001,1955600,0.007670415465556468,0.007965781772563463,0.012637352340701957,0.0026143219910198245,-0.007259956422641559,1599150.0,1498425.0,1414312.5,1558868.75,1.0,0.00670149685227994,0.006089518436479921,0.003854251741283946,0.005490776987501297,0.005548063027252433,-32.37480046503356,2.7320550000004005,0.007945307505096194,0.849590382861265,0.8316429909691738
2019-01-22,1088.0,1091.51001,1063.469971,1070.52002,1070.52002,1613500,-0.02525812626101176,-0.008793855397727646,-0.0014450541044719045,-0.00035479631182097626,-0.009111812323485936,1784550.0,1535900.0,1466087.5,1552387.5,0.0,0.006585630224832176,0.006643563538556057,0.00484381532568144,0.005353210645442837,0.005731732091406088,-31.896394566274466,13.93994100000009,0.013096457084473758,0.37992561637583605,0.6057843036725049
2019-01-23,1077.349976,1084.930054,1059.75,1075.569946,1075.569946,967000,0.004717264418838463,-0.010270430921086648,-0.0011523245742615928,0.0007385184625442048,-0.008972077776409286,1290250.0,1444700.0,1404912.5,1527468.75,0.0,0.014708430687221965,0.01064703045602707,0.008368274446253494,0.006029731112076792,0.00652101260372196,-30.75524035424064,-6.459838000000218,0.011705447002142214,0.32549955556402443,0.46564192961826467
2019-01-24,1076.47998,1079.474976,1060.699951,1073.900024,1073.900024,1361300,-0.0015525926567681037,0.0015823358810351795,-0.003605759758346233,0.0020790196446389547,-0.008478450058954902,1164150.0,1474350.0,1384975.0,1529418.75,0.0,0.012291714968804187,0.013500072828013077,0.010071818183284566,0.006536347314200079,0.007022282052583197,-29.643899745333783,-7.625121000000036,0.008741514377692161,0.2911404705945436,0.37839120010640415
2019-01-25,1085.0,1094.0,1081.819946,1090.98999,1090.98999,1119100,0.01591392645317602,0.007180666898203958,-0.0015448820114413453,0.005546235164630306,0.0028284648744538315,1240200.0,1265225.0,1381825.0,1503575.0,1.0,0.0029148333432462816,0.0076032741560252345,0.009125152306026153,0.006489702023655049,0.007153066428467608,-27.07206694068759,-6.160033999999996,0.005582110794618715,0.6427710221529537,0.510581111129679
2019-01-28,1080.109985,1083.0,1063.800049,1070.079956,1070.079956,1284300,-0.01916610985587508,-0.0016260917013495302,-2.187791015717533e-05,-0.0007334660073145399,0.0034108322485304626,1201700.0,1182925.0,1359412.5,1468775.0,1.0,0.0058686334276128556,0.0043917333854295686,0.008945903106721323,0.00689485921620138,0.007397447461363255,-26.41662153601419,6.640136999999868,0.008971269339428715,0.3016045547445267,0.40609283293710285
2019-01-29,1072.680054,1075.150024,1055.86499,1060.619995,1060.619995,1021800,-0.008840424443946948,-0.014003267149911014,-0.003411300125853528,-0.0022818123500575604,-0.000503329117929753,1153050.0,1196625.0,1320662.5,1401768.75,0.0,0.004483231527235146,0.005175932477424001,0.006389603316724618,0.007378938881489056,0.007375747120009081,-26.356692577526246,9.77502400000003,0.009091396584504328,0.12468870468370107,0.26539076881040197
2019-01-30,1068.430054,1091.0,1066.849976,1089.060059,1089.060059,1279800,0.026814565192126105,0.008987070374089579,0.003680489336370024,3.736478901189555e-05,0.0013080022171985811,1150800.0,1176250.0,1325300.0,1357887.5,0.0,0.0014508639692936878,0.002967047748264417,0.0036793905668469924,0.00687560437506578,0.006669081234161946,-23.740655466716362,-20.27014199999985,0.011087553804046005,0.8704617882622794,0.5679262785363407
2019-01-31,1103.0,1117.329956,1095.410034,1116.369995,1116.369995,1538300,0.0250766115002663,0.025945588346196202,0.005971160598142594,0.0022131392933506244,0.0024137306421852245,1409050.0,1281050.0,1273137.5,1343725.0,0.0,0.0067987907539560875,0.004124827361624887,0.004650379919524444,0.0068877661127752995,0.006189271550138298,-19.241934568313127,-20.0,0.00981749872272411,0.9843819811109955,0.776154129823668
2019-02-01,1112.400024,1125.0,1104.890015,1110.75,1110.75,1462200,-0.005034168801715255,0.010021221349275522,0.00950414586168255,0.0047411339757626875,0.0021931688319708556,1500250.0,1325525.0,1254225.0,1360156.25,1.0,0.005275701102858475,0.006037245928407282,0.004502146838335849,0.006724024972528587,0.006038617808985712,-15.946333071634626,8.390014999999948,0.00905243529146975,0.793881565938878,0.785017847881273
2019-02-04,1112.660034,1132.800049,1109.02002,1132.800049,1132.800049,2576500,0.01985149583614665,0.007408663517215697,0.01667712593170595,0.006632912902926211,0.0036857156827352078,2019350.0,1714200.0,1455412.5,1430162.5,1.0,0.003213289055922406,0.0042444950793904404,0.004184661220507664,0.0052871322686161406,0.005658431690346467,-11.423606245785095,-23.780029000000013,0.010496128165333445,1.0,0.8925089239406365
2019-02-05,1124.839966,1146.849976,1117.248047,1145.98999,1145.98999,3552200,0.011643662102278185,0.015747578969212417,0.01288440015924397,0.008282444747806997,0.005180732196222976,3064350.0,2282300.0,1729275.0,1557125.0,0.0,0.006624769034849913,0.004919029045386159,0.005478137486896721,0.004578764026871856,0.0055575556705359675,-6.697786729854215,-27.881957000000057,0.0129154396017019,0.9892501750000008,0.9408795494703186
2019-02-06,1139.569946,1147.0,1112.77002,1115.22998,1115.22998,2105600,-0.02684142991510774,-0.007598883906414777,-9.511019459954029e-05,0.002938025201771527,0.0042421301832009164,2828900.0,2424125.0,1852587.5,1617206.25,0.0,0.0022057871866035536,0.004415278110726733,0.004329886595058586,0.004490133257291516,0.0054899176404732825,-5.372683499653704,29.310059999999794,0.015346601424757281,0.38418218767579865,0.6625308685730587
2019-02-07,1104.160034,1104.839966,1086.0,1098.709961,1098.709961,2044800,-0.01481310518571255,-0.020827267550410145,-0.002539844290598864,0.003482150785541843,0.0013743423891136516,2075200.0,2569775.0,1947650.0,1653531.25,0.0,0.011568076609073375,0.006886931897838464,0.005902980471612312,0.0052025636549740805,0.006048711435587731,-5.591106319300934,-6.579956000000038,0.008573675796500767,0.20836001639344298,0.4354454424832508
2019-02-08,1087.0,1098.910034,1086.550049,1095.060059,1095.060059,1075800,-0.003321988631720507,-0.009067546908716528,-0.008333215407565653,0.004171955262070148,0.0009450714560062939,1560300.0,2194600.0,1954400.0,1637531.25,1.0,0.0004108916185025935,0.005989484113787984,0.005202381112257359,0.004693521166382511,0.006036230023935784,-5.9896792712263505,-4.66003499999988,0.0056435192291129175,0.1485255573770477,0.2919854999301492
2019-02-11,1096.949951,1105.944946,1092.859985,1095.01001,1095.01001,1065200,-4.570434250483757e-05,-0.0016838464871126724,-0.011255557018761408,0.0008144215702412805,0.000425893179626588,1070500.0,1572850.0,1927575.0,1626437.5,1.0,0.001963475201473194,0.0011871834099878938,0.004037057653913179,0.0047575975704049495,0.005816600972735364,-6.237685586595717,8.784911000000193,0.005974813417459089,0.14770508196721255,0.21984529094868088
